Time Stamp,ID,Extended,Dir,DLC,D1,D2,D3,D4,D5,D6,D7,D8
55.956450,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
55.957750,0x06F,0,0,8,0xB5,0x9B,0xD0,0x37,0xFF,0x0D,0xF0,0x7F
56.154500,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
56.156000,0x06F,0,0,8,0xB7,0x9B,0xD0,0x37,0xFF,0x0D,0xF0,0x7F
56.352500,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
56.353600,0x06F,0,0,8,0xB7,0x9B,0xB0,0x37,0x00,0x0E,0xF0,0x7F
56.550250,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
56.551600,0x06F,0,0,8,0xB7,0x9B,0xD0,0xB7,0x00,0x0E,0xD0,0x7F
56.748450,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
56.749600,0x06F,0,0,8,0xB7,0x9B,0xB0,0xB7,0xFE,0xF5,0xEF,0x7F
56.946450,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
56.947700,0x06F,0,0,8,0xB7,0x9B,0xB0,0x37,0xFF,0xF9,0xEF,0x7F
57.144000,0x06F,0,0,8,0xB7,0x9B,0xD0,0xB7,0xFE,0xF9,0x2F,0x80
57.144600,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
57.342450,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
57.343600,0x06F,0,0,8,0xB5,0x9B,0xB0,0x37,0xFF,0x01,0xF0,0x7F
57.540500,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
57.541600,0x06F,0,0,8,0xB7,0x9B,0xB0,0x37,0xFF,0xF1,0xEF,0x7F
57.738500,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
57.739600,0x06F,0,0,8,0xB5,0x9B,0xB0,0x37,0xFE,0xE1,0xCF,0x7F
57.936500,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
57.937750,0x06F,0,0,8,0xB5,0x9B,0xD0,0xB7,0xFC,0xC5,0xCF,0x7F
58.134500,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
58.135600,0x06F,0,0,8,0xB3,0xA3,0xB0,0x37,0xF7,0x7D,0x4F,0x80
58.332000,0x06F,0,0,8,0xB1,0xA3,0xF0,0x37,0x00,0xBA,0x2F,0x80
58.332650,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
58.530500,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
58.531600,0x06F,0,0,8,0xB7,0x9B,0xB0,0x37,0x0B,0x5A,0xB0,0x82
58.728500,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
58.729600,0x06F,0,0,8,0xC5,0x6B,0x10,0xB7,0x2B,0xB2,0xD1,0x81
58.926050,0x06F,0,0,8,0xC3,0x83,0x30,0xB7,0x20,0x22,0xF1,0x8C
58.927350,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
59.124500,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
59.125650,0x06F,0,0,8,0xCF,0x73,0xF0,0xB6,0x01,0xFE,0x0F,0x81
59.322500,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
59.323650,0x06F,0,0,8,0xCF,0x73,0xF0,0xB6,0x00,0x06,0xB0,0x80
59.520000,0x06F,0,0,8,0xCF,0x73,0xF0,0xB6,0x00,0x06,0x70,0x81
59.520650,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
59.718000,0x06F,0,0,8,0xCF,0x73,0xF0,0x36,0x00,0x02,0x70,0x81
59.718650,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
59.916500,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
59.917800,0x06F,0,0,8,0xD1,0x73,0xF0,0x36,0x00,0x02,0x10,0x81
60.114000,0x06F,0,0,8,0xCF,0x7B,0xF0,0xB6,0xFF,0x01,0xB0,0x81
60.114650,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
60.312050,0x06F,0,0,8,0xD1,0x73,0xF0,0xB6,0xFF,0x01,0x70,0x80
60.312700,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
60.510500,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
60.510700,0x06F,0,0,8,0xD1,0x7B,0xF0,0x36,0xFF,0x01,0x90,0x81
60.708050,0x06F,0,0,8,0xD3,0x7B,0xF0,0xB6,0xFF,0x01,0x30,0x81
60.708700,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
60.906050,0x06F,0,0,8,0xD1,0x7B,0xF0,0xB6,0xFF,0x01,0xD0,0x80
60.906700,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
61.104050,0x06F,0,0,8,0xD1,0x7B,0xF0,0xB6,0xFF,0x01,0xD0,0x81
61.104700,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
61.302050,0x06F,0,0,8,0xD3,0x83,0xD0,0x36,0xFF,0x01,0x30,0x81
61.302650,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
61.500050,0x06F,0,0,8,0xD3,0x83,0xF0,0x36,0xFF,0x01,0x50,0x81
61.500650,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
61.698500,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
61.698650,0x06F,0,0,8,0xD3,0x83,0xF0,0x36,0xFF,0xFD,0x8F,0x81
61.896050,0x06F,0,0,8,0xD5,0x83,0xF0,0x36,0xFF,0xFD,0x2F,0x81
61.896700,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
62.094050,0x06F,0,0,8,0xD5,0x83,0xF0,0xB6,0xFE,0xF9,0x4F,0x81
62.094700,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
62.292050,0x06F,0,0,8,0xD5,0x8B,0xD0,0x36,0xFF,0xFD,0xEF,0x80
62.292700,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
62.490050,0x06F,0,0,8,0xD7,0x83,0xD0,0x36,0xFF,0x01,0x70,0x81
62.490700,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
62.688050,0x06F,0,0,8,0xD5,0x8B,0xD0,0x36,0xFF,0x01,0xB0,0x82
62.688700,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
62.886050,0x06F,0,0,8,0xD5,0x8B,0xD0,0xB6,0xFE,0xFD,0x6F,0x81
62.886950,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
63.084100,0x06F,0,0,8,0xD7,0x8B,0xD0,0xB6,0xFE,0xFD,0xEF,0x7F
