kind,pid,value_bytes,length,timestamp,raw_hex,pid_name,pid_unit,pid_group,value,value_kind,session,total_length,partial,sid,raw_bytes
SF,7694.0,b'\x02\x08\x00\x13',7.0,53.70635,07 62 1E 0E 02 08 00 13,HV Battery max temp and temp point,°C,Battery,8.125,numeric,sd_2A73E1CC/00000034,,,,
OTHER,,,2.0,53.8563,02 7E 00 AA AA AA AA AA,,,,,,sd_2A73E1CC/00000034,,,126.0,b'\x02~\x00'
OTHER,,,2.0,55.85675,02 7E 00 AA AA AA AA AA,,,,,,sd_2A73E1CC/00000034,,,126.0,b'\x02~\x00'
OTHER,,,2.0,57.85655,02 7E 00 AA AA AA AA AA,,,,,,sd_2A73E1CC/00000034,,,126.0,b'\x02~\x00'
SF,652.0,b'e',4.0,58.10655,04 62 02 8C 65 AA AA AA,SOC (BMS),%,Battery,40.4,numeric,sd_2A73E1CC/00000034,,,,
SF,7739.0,b'\x05r',5.0,58.2566,05 62 1E 3B 05 72 AA AA,HV Battery voltage,V,Battery,348.5,numeric,sd_2A73E1CC/00000034,,,,
FF,7741.0,b'\x00\x02H',,58.4066,10 08 62 1E 3D 00 02 48,HV Battery current,A,Battery,-4.96,partial,sd_2A73E1CC/00000034,8.0,True,,
SF,10763.0,b'^',4.0,58.556999999999995,04 62 2A 0B 5E AA AA AA,HV Battery temp (main value),°C,Battery,7.0,numeric,sd_2A73E1CC/00000034,,,,
SF,7694.0,b'\x02\x08\x00\x13',7.0,58.706599999999995,07 62 1E 0E 02 08 00 13,HV Battery max temp and temp point,°C,Battery,8.125,numeric,sd_2A73E1CC/00000034,,,,
OTHER,,,2.0,59.856649999999995,02 7E 00 AA AA AA AA AA,,,,,,sd_2A73E1CC/00000034,,,126.0,b'\x02~\x00'
OTHER,,,2.0,61.8568,02 7E 00 AA AA AA AA AA,,,,,,sd_2A73E1CC/00000034,,,126.0,b'\x02~\x00'
SF,652.0,b'e',4.0,63.106849999999994,04 62 02 8C 65 AA AA AA,SOC (BMS),%,Battery,40.4,numeric,sd_2A73E1CC/00000034,,,,
SF,7739.0,b'\x05r',5.0,63.25685,05 62 1E 3B 05 72 AA AA,HV Battery voltage,V,Battery,348.5,numeric,sd_2A73E1CC/00000034,,,,
FF,7741.0,b'\x00\x02H',,63.4069,10 08 62 1E 3D 00 02 48,HV Battery current,A,Battery,-4.96,partial,sd_2A73E1CC/00000034,8.0,True,,
SF,10763.0,b'^',4.0,63.5569,04 62 2A 0B 5E AA AA AA,HV Battery temp (main value),°C,Battery,7.0,numeric,sd_2A73E1CC/00000034,,,,
SF,7694.0,b'\x02\x08\x00\x13',7.0,63.7069,07 62 1E 0E 02 08 00 13,HV Battery max temp and temp point,°C,Battery,8.125,numeric,sd_2A73E1CC/00000034,,,,
OTHER,,,2.0,63.85695,02 7E 00 AA AA AA AA AA,,,,,,sd_2A73E1CC/00000034,,,126.0,b'\x02~\x00'
OTHER,,,2.0,65.85705,02 7E 00 AA AA AA AA AA,,,,,,sd_2A73E1CC/00000034,,,126.0,b'\x02~\x00'
OTHER,,,2.0,67.85719999999999,02 7E 00 AA AA AA AA AA,,,,,,sd_2A73E1CC/00000034,,,126.0,b'\x02~\x00'
SF,652.0,b'e',4.0,68.10714999999999,04 62 02 8C 65 AA AA AA,SOC (BMS),%,Battery,40.4,numeric,sd_2A73E1CC/00000034,,,,
SF,7739.0,b'\x05r',5.0,68.25715,05 62 1E 3B 05 72 AA AA,HV Battery voltage,V,Battery,348.5,numeric,sd_2A73E1CC/00000034,,,,
FF,7741.0,b'\x00\x02H',,68.4072,10 08 62 1E 3D 00 02 48,HV Battery current,A,Battery,-4.96,partial,sd_2A73E1CC/00000034,8.0,True,,
SF,10763.0,b'^',4.0,68.5572,04 62 2A 0B 5E AA AA AA,HV Battery temp (main value),°C,Battery,7.0,numeric,sd_2A73E1CC/00000034,,,,
SF,7694.0,b'\x02\x08\x00\x13',7.0,68.7072,07 62 1E 0E 02 08 00 13,HV Battery max temp and temp point,°C,Battery,8.125,numeric,sd_2A73E1CC/00000034,,,,
OTHER,,,2.0,69.85725,02 7E 00 AA AA AA AA AA,,,,,,sd_2A73E1CC/00000034,,,126.0,b'\x02~\x00'
OTHER,,,2.0,71.8574,02 7E 00 AA AA AA AA AA,,,,,,sd_2A73E1CC/00000034,,,126.0,b'\x02~\x00'
SF,652.0,b'e',4.0,73.10745,04 62 02 8C 65 AA AA AA,SOC (BMS),%,Battery,40.4,numeric,sd_2A73E1CC/00000034,,,,
SF,7739.0,b'\x05r',5.0,73.25744999999999,05 62 1E 3B 05 72 AA AA,HV Battery voltage,V,Battery,348.5,numeric,sd_2A73E1CC/00000034,,,,
FF,7741.0,b'\x00\x02H',,73.40745,10 08 62 1E 3D 00 02 48,HV Battery current,A,Battery,-4.96,partial,sd_2A73E1CC/00000034,8.0,True,,
SF,10763.0,b'^',4.0,73.55745,04 62 2A 0B 5E AA AA AA,HV Battery temp (main value),°C,Battery,7.0,numeric,sd_2A73E1CC/00000034,,,,
SF,7694.0,b'\x02\x08\x00\x13',7.0,73.7075,07 62 1E 0E 02 08 00 13,HV Battery max temp and temp point,°C,Battery,8.125,numeric,sd_2A73E1CC/00000034,,,,
OTHER,,,2.0,73.8582,02 7E 00 AA AA AA AA AA,,,,,,sd_2A73E1CC/00000034,,,126.0,b'\x02~\x00'
OTHER,,,2.0,75.85764999999999,02 7E 00 AA AA AA AA AA,,,,,,sd_2A73E1CC/00000034,,,126.0,b'\x02~\x00'
OTHER,,,2.0,77.8531,02 7E 00 AA AA AA AA AA,,,,,,sd_2A73E1CC/00000034,,,126.0,b'\x02~\x00'
SF,652.0,b'e',4.0,78.10315,04 62 02 8C 65 AA AA AA,SOC (BMS),%,Battery,40.4,numeric,sd_2A73E1CC/00000034,,,,
SF,7739.0,b'\x05r',5.0,78.25314999999999,05 62 1E 3B 05 72 AA AA,HV Battery voltage,V,Battery,348.5,numeric,sd_2A73E1CC/00000034,,,,
FF,7741.0,b'\x00\x02H',,78.40315,10 08 62 1E 3D 00 02 48,HV Battery current,A,Battery,-4.96,partial,sd_2A73E1CC/00000034,8.0,True,,
SF,10763.0,b'^',4.0,78.55315,04 62 2A 0B 5E AA AA AA,HV Battery temp (main value),°C,Battery,7.0,numeric,sd_2A73E1CC/00000034,,,,
SF,7694.0,b'\x02\x08\x00\x13',7.0,78.7032,07 62 1E 0E 02 08 00 13,HV Battery max temp and temp point,°C,Battery,8.125,numeric,sd_2A73E1CC/00000034,,,,
